"title","distributor","year","month","total_revenue","total_theaters","tconst","primaryTitle","runtimeMinutes","averageRating","numVotes","budget_x","director","genre","isHolidaySeason","season","isTopFiveDistributor","isTopTenDirector"
"Avengers: Endgame","Walt Disney Studios Motion Pictures",2019,9,858373000,4662,"tt4154796","Avengers: Endgame",181,8.4,1305746,4e+08,"Anthony Russo","Action",0,3,1,0
"The Lion King","Walt Disney Studios Motion Pictures",2019,12,543638043,4802,"tt6105098","The Lion King",118,6.8,272216,2.6e+08,"Jon Favreau","Adventure",1,4,1,0
"Toy Story 4","Walt Disney Studios Motion Pictures",2019,12,434038008,4575,"tt1979376","Toy Story 4",100,7.7,288404,2e+08,"Josh Cooley","Adventure",1,4,1,0
"Frozen II","Walt Disney Studios Motion Pictures",2019,12,430144682,4440,"tt4520988","Frozen II",103,6.8,200286,1.5e+08,"Chris Buck","Adventure",1,4,1,0
"Captain Marvel","Walt Disney Studios Motion Pictures",2019,7,426829839,4310,"tt4154664","Captain Marvel",123,6.8,622754,1.75e+08,"Anna Boden","Action",0,3,1,0
"Aladdin","Walt Disney Studios Motion Pictures",2019,10,355559216,4476,"tt6139732","Aladdin",128,6.9,295623,1.82e+08,"Guy Ritchie","Adventure",1,4,1,0
"Joker","Warner Bros.",2019,12,333772511,4374,"tt7286456","Joker",122,8.4,1550940,5.5e+07,"Todd Phillips","Crime",1,4,1,1
"It Chapter Two","Warner Bros.",2019,12,211593228,4570,"tt7349950","It Chapter Two",169,6.5,312515,7.9e+07,"Andy Muschietti","Drama",1,4,1,0
"Jumanji: The Next Level","Sony Pictures Entertainment (SPE)",2019,12,192094536,4227,"tt7975244","Jumanji: The Next Level",123,6.7,293071,1.25e+08,"Jake Kasdan","Action",1,4,1,0
"Us","Universal Pictures",2019,6,175005930,3743,"tt6857112","Us",116,6.8,352922,2e+07,"Jordan Peele","Horror",0,2,1,0
"Fast & Furious Presents: Hobbs & Shaw","Universal Pictures",2019,10,173810100,4344,"tt6806448","Fast & Furious Presents: Hobbs & Shaw",137,6.5,241868,2e+08,"David Leitch","Action",1,4,1,0
"John Wick: Chapter 3 - Parabellum","Lionsgate",2019,9,171015687,3850,"tt6146586","John Wick: Chapter 3 - Parabellum",130,7.4,438284,5.5e+07,"Chad Stahelski","Action",0,3,1,0
"How to Train Your Dragon: The Hidden World","Universal Pictures",2019,6,158299505,4286,"tt2386490","How to Train Your Dragon: The Hidden World",104,7.4,156226,1.29e+08,"Dean DeBlois","Action",0,2,1,0
"The Secret Life of Pets 2","Universal Pictures",2019,9,157332265,4564,"tt5113040","The Secret Life of Pets 2",86,6.4,70713,8e+07,"Chris Renaud","Adventure",0,3,1,0
"Shazam!","Warner Bros.",2019,7,137046656,4306,"tt0448115","Shazam!",132,7,392131,8.5e+07,"David F. Sandberg","Action",0,3,1,0
"Knives Out","Lionsgate",2019,12,115711579,3461,"tt8946378","Knives Out",130,7.9,792895,4e+07,"Rian Johnson","Comedy",1,4,1,1
"Dumbo","Walt Disney Studios Motion Pictures",2019,8,114766307,4259,"tt3861390","Dumbo",112,6.3,84003,1.7e+08,"Tim Burton","Adventure",0,3,1,0
"Maleficent: Mistress of Evil","Walt Disney Studios Motion Pictures",2019,12,113294737,3820,"tt4777008","Maleficent: Mistress of Evil",119,6.6,121801,1.85e+08,"Joachim Rønning","Adventure",1,4,1,0
"Glass","Universal Pictures",2019,4,111035005,3844,"tt6823368","Glass",129,6.6,284060,2e+07,"M. Night Shyamalan","Drama",0,2,1,0
"Godzilla: King of the Monsters","Warner Bros.",2019,8,110500138,4108,"tt3741700","Godzilla: King of the Monsters",132,6,214267,1.7e+08,"Michael Dougherty","Action",0,3,1,0
"Ford v Ferrari","Twentieth Century Fox",2019,12,107196444,3746,"tt1950186","Ford v Ferrari",152,8.1,498364,97600000,"James Mangold","Action",1,4,0,1
"Hustlers","STX Entertainment",2019,12,104960643,3525,"tt5503686","Hustlers",110,6.3,109069,20700000,"Lorene Scafaria","Comedy",1,4,0,0
"The Addams Family","United Artists Releasing",2019,12,97185807,4107,"tt1620981","The Addams Family",86,5.8,45822,3e+07,"Greg Tiernan","Animation",1,4,0,0
"Downton Abbey","Focus Features",2019,12,96854135,3548,"tt6398184","Downton Abbey",122,7.4,65035,2e+07,"Michael Engler","Drama",1,4,0,0
"Alita: Battle Angel","Twentieth Century Fox",2019,5,85710210,3802,"tt0437086","Alita: Battle Angel",122,7.3,300119,1.7e+08,"Robert Rodriguez","Action",0,2,0,0
"Good Boys","Universal Pictures",2019,10,83083070,3458,"tt6977338","Good Boys",90,6.7,83950,2e+07,"Gene Stupnitsky","Adventure",1,4,1,0
"Men in Black: International","Sony Pictures Entertainment (SPE)",2019,10,80001807,4224,"tt2283336","Men in Black: International",114,5.6,150371,1.1e+08,"F. Gary Gray","Action",1,4,1,0
"Annabelle Comes Home","Warner Bros.",2019,10,74152591,3613,"tt8350360","Annabelle Comes Home",106,5.9,90034,2.7e+07,"Gary Dauberman","Horror",1,4,1,0
"Zombieland: Double Tap","Sony Pictures Entertainment (SPE)",2019,12,72930156,3468,"tt1560220","Zombieland: Double Tap",99,6.7,209309,4.8e+07,"Ruben Fleischer","Action",1,4,1,0
"Angel Has Fallen","Lionsgate",2019,10,69030436,3336,"tt6189022","Angel Has Fallen",121,6.4,113394,4e+07,"Ric Roman Waugh","Action",1,4,1,0
"Scary Stories to Tell in the Dark","Lionsgate",2019,10,68947075,3135,"tt3387520","Scary Stories to Tell in the Dark",108,6.2,87394,2.8e+07,"André Øvredal","Adventure",1,4,1,0
"Terminator: Dark Fate","Paramount Pictures",2019,12,62253077,4086,"tt6450804","Terminator: Dark Fate",128,6.2,197459,1.85e+08,"Tim Miller","Action",1,4,0,0
"Abominable","Universal Pictures",2019,12,60679265,4248,"tt6324278","Abominable",97,7,43466,7.5e+07,"Jill Culton","Adventure",1,4,1,0
"Dora and the Lost City of Gold","Paramount Pictures",2019,10,60477943,3735,"tt7547410","Dora and the Lost City of Gold",102,6.1,35880,4.9e+07,"James Bobin","Action",1,4,0,0
"Escape Room","Sony Pictures Entertainment (SPE)",2019,4,56981740,2717,"tt5886046","Escape Room",99,6.4,146501,9e+06,"Adam Robitel","Action",0,2,1,0
"Midway","Lionsgate",2019,12,56279164,3242,"tt6924650","Midway",138,6.7,96734,1e+08,"Roland Emmerich","Action",1,4,1,0
"Pet Sematary","Paramount Pictures",2019,5,54724696,3585,"tt0837563","Pet Sematary",100,5.7,100195,2.1e+07,"Kevin Kölsch","Horror",0,2,0,0
"What Men Want","Paramount Pictures",2019,4,54611903,2912,"tt7634968","What Men Want",117,5.4,32608,2e+07,"Adam Shankman","Comedy",0,2,0,0
"Ad Astra","Twentieth Century Fox",2019,12,50188370,3460,"tt2935510","Ad Astra",123,6.5,264808,8e+07,"James Gray","Adventure",1,4,0,0
"Isn't It Romantic","Warner Bros.",2019,5,48791187,3444,"tt2452244","Isn't It Romantic",89,5.9,74559,92400000,"Todd Strauss-Schulson","Comedy",0,2,1,0
